11.3,1.5,220,1
11,3,220,1
11,4.5,220,1
10.7,6,220,1
10.6,7.5,220,1
10.2,9,220,1
10,10.5,220,1
11.15,1.5,220,1
11.05,3,220,1
11.03,4.5,220,1
10.75,6,220,1
10.55,7.5,220,1
10.22,9,220,1
9.95,10.5,220,1
11.2,1.5,220,1
10.95,3,220,1
10.97,4.5,220,1
10.68,6,220,1
10.5,7.5,220,1
10.3,9,220,1
10.1,10.5,220,1
11.25,1.5,220,1
11,3,220,1
10.99,4.5,220,1
10.73,6,220,1
10.53,7.5,220,1
10.15,9,220,1
10.03,10.5,220,1
11.2,1.5,220,1
11,3,220,1
11,4.5,220,1
10.7,6,220,1
10.45,7.5,220,1
10.3,9,220,1
10.1,10.5,220,1
11.25,1.5,220,1
11.05,3,220,1
11.05,4.5,220,1
10.75,6,220,1
10.5,7.5,220,1
10.33,9,220,1
10.15,10.5,220,1
11.18,1.5,220,1
10.95,3,220,1
11.03,4.5,220,1
10.68,6,220,1
10.42,7.5,220,1
10.35,9,220,1
10.11,10.5,220,1
11.22,1.5,220,1
11.03,3,220,1
11.07,4.5,220,1
10.72,6,220,1
10.45,7.5,220,1
10.29,9,220,1
10.05,10.5,220,1
9.8,12,220,0
9.7,13.5,220,0
9,15,220,0
9.85,12,220,0
9.75,13.5,220,0
9.1,15,220,0
9.82,12,220,0
9.73,13.5,220,0
8.95,15,220,0
9.78,12,220,0
9.68,13.5,220,0
9.15,15,220,0
9.6,12,220,0
9.5,13.5,220,0
8.7,15,220,0
9.65,12,220,0
9.55,13.5,220,0
8.75,15,220,0
9.58,12,220,0
9.48,13.5,220,0
8.71,15,220,0
9.67,12,220,0
9.52,13.5,220,0
8.72,15,220,0
